Year,District,LandCoverClass,PixelCount,Percentage,LandCoverLabel,Precipitation (mm),GPP (kg_C/m²/year),Population Density (People/km²)
2010,El Ghabra,7,19,0.7276905400229797,Open Shrublands,433.27615,1156.2360876897133,25.989079
2010,El Ghabra,10,1736,66.48793565683646,Grasslands,433.27615,1156.2360876897133,25.989079
2010,El Ghabra,16,856,32.78437380314056,Barren or Sparsely Vegetated,433.27615,1156.2360876897133,25.989079
2010,Guerou,10,517,94.0,Grasslands,382.9724,957.6723300970874,139.18394
2010,Guerou,16,33,6.0,Barren or Sparsely Vegetated,382.9724,957.6723300970874,139.18394
2010,Barkeiwel,7,3,0.3901170351105332,Open Shrublands,425.15533,1031.1538461538462,48.570004
2010,Barkeiwel,10,298,38.751625487646294,Grasslands,425.15533,1031.1538461538462,48.570004
2010,Barkeiwel,16,468,60.85825747724317,Barren or Sparsely Vegetated,425.15533,1031.1538461538462,48.570004
2010,Legrane,7,196,1.316938789222603,Open Shrublands,441.89813,1398.1488596253055,3.9907348
2010,Legrane,10,14687,98.6830612107774,Grasslands,441.89813,1398.1488596253055,3.9907348
2010,Sani,7,1,0.013693002875530602,Open Shrublands,435.843,1385.5292666209732,6.4008136
2010,Sani,10,7302,99.98630699712447,Grasslands,435.843,1385.5292666209732,6.4008136
2010,Daghveg,7,87,3.023983315954119,Open Shrublands,450.47302,1094.0771558245083,15.053497
2010,Daghveg,10,1043,36.25304136253041,Grasslands,450.47302,1094.0771558245083,15.053497
2010,Daghveg,16,1747,60.72297532151547,Barren or Sparsely Vegetated,450.47302,1094.0771558245083,15.053497
2010,Bou Lahrath,7,25,0.3913587977457733,Open Shrublands,368.6938,1031.191983122363,6.978767
2010,Bou Lahrath,10,1132,17.720726361928616,Grasslands,368.6938,1031.191983122363,6.978767
2010,Bou Lahrath,16,5231,81.88791484032562,Barren or Sparsely Vegetated,368.6938,1031.191983122363,6.978767
2010,Hamed,7,31,0.2800361336946703,Open Shrublands,422.3341,2168.9483007953722,10.279619
2010,Hamed,10,11037,99.70189701897019,Grasslands,422.3341,2168.9483007953722,10.279619
2010,Hamed,12,2,0.01806684733514002,Croplands,422.3341,2168.9483007953722,10.279619
2010,Gueller,7,125,2.384586035864174,Open Shrublands,402.41638,1053.78381147541,4.968314
2010,Gueller,10,1790,34.14727203357497,Grasslands,402.41638,1053.78381147541,4.968314
2010,Gueller,16,3327,63.46814193056085,Barren or Sparsely Vegetated,402.41638,1053.78381147541,4.968314
2010,El Melgue,7,89,0.8746928746928747,Open Shrublands,335.7419,1056.920197740113,4.633765
2010,El Melgue,10,10085,99.1154791154791,Grasslands,335.7419,1056.920197740113,4.633765
2010,El Melgue,16,1,0.009828009828009828,Barren or Sparsely Vegetated,335.7419,1056.920197740113,4.633765
2010,El Ghaira,7,140,22.690437601296594,Open Shrublands,297.4009,845.7301587301587,44.840595
2010,El Ghaira,10,224,36.30470016207455,Grasslands,297.4009,845.7301587301587,44.840595
2010,El Ghaira,16,253,41.004862236628846,Barren or Sparsely Vegetated,297.4009,845.7301587301587,44.840595
2010,Lebheir,7,71,3.090988245537658,Open Shrublands,474.0183,1270.431638418079,14.146317
2010,Lebheir,10,1300,56.59555942533739,Grasslands,474.0183,1270.431638418079,14.146317
2010,Lebheir,13,5,0.21767522855899,Urban and Built-up Lands,474.0183,1270.431638418079,14.146317
2010,Lebheir,16,921,40.095777100565954,Barren or Sparsely Vegetated,474.0183,1270.431638418079,14.146317
2010,Oudeiy Jrid,7,716,10.004191700433141,Open Shrublands,422.1598,1101.1937466595405,6.9026675
2010,Oudeiy Jrid,10,6080,84.95179544501886,Grasslands,422.1598,1101.1937466595405,6.9026675
2010,Oudeiy Jrid,13,3,0.04191700433142378,Urban and Built-up Lands,422.1598,1101.1937466595405,6.9026675
2010,Oudeiy Jrid,16,358,5.002095850216571,Barren or Sparsely Vegetated,422.1598,1101.1937466595405,6.9026675
2010,Tenaha,7,71,0.5324733763311834,Open Shrublands,444.02676,2554.6949152542375,4.5135107
2010,Tenaha,10,13258,99.43002849857507,Grasslands,444.02676,2554.6949152542375,4.5135107
2010,Tenaha,12,5,0.03749812509374532,Croplands,444.02676,2554.6949152542375,4.5135107
2010,Lavtah,7,102,0.5804028678729942,Open Shrublands,132.05328,974.1428571428571,1.2469805
2010,Lavtah,10,226,1.2859906680323205,Grasslands,132.05328,974.1428571428571,1.2469805
2010,Lavtah,16,17246,98.13360646409468,Barren or Sparsely Vegetated,132.05328,974.1428571428571,1.2469805
2010,Kiffa,7,41,0.7441016333938294,Open Shrublands,348.29382,1220.7565922920892,44.40718
2010,Kiffa,10,5456,99.01996370235935,Grasslands,348.29382,1220.7565922920892,44.40718
2010,Kiffa,16,13,0.23593466424682397,Barren or Sparsely Vegetated,348.29382,1220.7565922920892,44.40718
2010,Blajmil,7,96,0.6124792650248819,Open Shrublands,410.10974,1728.5635806801506,5.054763
2010,Blajmil,10,15578,99.38752073497513,Grasslands,410.10974,1728.5635806801506,5.054763
2010,R’Dheidhie,7,23,0.4972972972972973,Open Shrublands,355.58377,947.4700460829494,8.108586
2010,R’Dheidhie,10,2450,52.972972972972975,Grasslands,355.58377,947.4700460829494,8.108586
2010,R’Dheidhie,16,2152,46.52972972972973,Barren or Sparsely Vegetated,355.58377,947.4700460829494,8.108586
2010,Kamour,7,317,6.65267576075551,Open Shrublands,354.0262,1075.5503565062388,8.121328
2010,Kamour,10,3803,79.81112277019938,Grasslands,354.0262,1075.5503565062388,8.121328
2010,Kamour,16,645,13.53620146904512,Barren or Sparsely Vegetated,354.0262,1075.5503565062388,8.121328
2010,Boumdeid,7,20,2.865329512893983,Open Shrublands,188.42981,1448.6470588235295,10.4746895
2010,Boumdeid,10,121,17.335243553008596,Grasslands,188.42981,1448.6470588235295,10.4746895
2010,Boumdeid,16,557,79.79942693409741,Barren or Sparsely Vegetated,188.42981,1448.6470588235295,10.4746895
2010,Kouroudjel,7,1,0.03773584905660377,Open Shrublands,407.95425,1308.3226415094339,5.5162787
2010,Kouroudjel,10,2649,99.9622641509434,Grasslands,407.95425,1308.3226415094339,5.5162787
2010,Nouamlein,7,132,0.8033595033777615,Open Shrublands,269.45572,877.7310240132487,1.2895818
2010,Nouamlein,10,11895,72.3936461566551,Grasslands,269.45572,877.7310240132487,1.2895818
2010,Nouamlein,16,4404,26.802994339967135,Barren or Sparsely Vegetated,269.45572,877.7310240132487,1.2895818
2010,Laweissi,7,102,1.9072550486163051,Open Shrublands,454.39417,1346.0415782774714,11.484604
2010,Laweissi,10,3967,74.17726252804788,Grasslands,454.39417,1346.0415782774714,11.484604
2010,Laweissi,16,1279,23.915482423335828,Barren or Sparsely Vegetated,454.39417,1346.0415782774714,11.484604
2010,Hseiy Tin,7,15,0.7772020725388601,Open Shrublands,202.70169,626.0,4.2658687
2010,Hseiy Tin,10,106,5.492227979274611,Grasslands,202.70169,626.0,4.2658687
2010,Hseiy Tin,16,1809,93.73056994818653,Barren or Sparsely Vegetated,202.70169,626.0,4.2658687
2010,Kankoussa,7,2,0.18099547511312217,Open Shrublands,407.40353,1742.5619909502263,59.448532
2010,Kankoussa,10,1103,99.81900452488688,Grasslands,407.40353,1742.5619909502263,59.448532
2010,Aghorat,7,136,2.051282051282051,Open Shrublands,307.3039,1057.8055509390063,11.537289
2010,Aghorat,10,6462,97.46606334841628,Grasslands,307.3039,1057.8055509390063,11.537289
2010,Aghorat,16,32,0.48265460030165913,Barren or Sparsely Vegetated,307.3039,1057.8055509390063,11.537289
2011,El Ghabra,7,29,0.6128486897717667,Open Shrublands,196.34253,639.0016863406408,26.411394
2011,El Ghabra,10,1683,35.566356720202876,Grasslands,196.34253,639.0016863406408,26.411394
2011,El Ghabra,16,899,18.998309382924766,Barren or Sparsely Vegetated,196.34253,639.0016863406408,26.411394
2011,El Ghabra,255,2121,44.82248520710059,,196.34253,639.0016863406408,26.411394
2011,Guerou,10,511,44.24242424242424,Grasslands,183.32309,669.5194174757281,143.41739
2011,Guerou,16,39,3.3766233766233764,Barren or Sparsely Vegetated,183.32309,669.5194174757281,143.41739
2011,Guerou,255,605,52.38095238095239,,183.32309,669.5194174757281,143.41739
2011,Barkeiwel,7,3,0.18472906403940886,Open Shrublands,199.1936,446.9384615384615,49.9108
2011,Barkeiwel,10,282,17.364532019704434,Grasslands,199.1936,446.9384615384615,49.9108
2011,Barkeiwel,16,484,29.802955665024633,Barren or Sparsely Vegetated,199.1936,446.9384615384615,49.9108
2011,Barkeiwel,255,855,52.64778325123153,,199.1936,446.9384615384615,49.9108
2011,Legrane,7,679,2.6950861316186394,Open Shrublands,234.84871,849.6698343741515,4.023465
2011,Legrane,10,14202,56.370564420100024,Grasslands,234.84871,849.6698343741515,4.023465
2011,Legrane,16,2,0.007938398031277289,Barren or Sparsely Vegetated,234.84871,849.6698343741515,4.023465
2011,Legrane,255,10311,40.92641105025006,,234.84871,849.6698343741515,4.023465
2011,Sani,7,3,0.030072173215717722,Open Shrublands,251.23085,701.6072652501714,6.4179807
2011,Sani,10,7300,73.17562149157979,Grasslands,251.23085,701.6072652501714,6.4179807
2011,Sani,255,2673,26.794306335204492,,251.23085,701.6072652501714,6.4179807
2011,Daghveg,7,75,1.1177347242921014,Open Shrublands,219.24843,641.9092284417549,15.501566
2011,Daghveg,10,882,13.144560357675111,Grasslands,219.24843,641.9092284417549,15.501566
2011,Daghveg,16,1920,28.614008941877795,Barren or Sparsely Vegetated,219.24843,641.9092284417549,15.501566
2011,Daghveg,255,3833,57.123695976155,,219.24843,641.9092284417549,15.501566
2011,Bou Lahrath,7,15,0.10582010582010583,Open Shrublands,156.62473,568.6603375527426,7.123492
2011,Bou Lahrath,10,951,6.708994708994709,Grasslands,156.62473,568.6603375527426,7.123492
2011,Bou Lahrath,16,5422,38.25044091710759,Barren or Sparsely Vegetated,156.62473,568.6603375527426,7.123492
2011,Bou Lahrath,255,7787,54.93474426807761,,156.62473,568.6603375527426,7.123492
2011,Hamed,7,108,0.4830917874396135,Open Shrublands,283.8054,1124.5597433116413,10.463821
2011,Hamed,10,10962,49.033816425120776,Grasslands,283.8054,1124.5597433116413,10.463821
2011,Hamed,255,11286,50.48309178743962,,283.8054,1124.5597433116413,10.463821
2011,Gueller,7,113,0.7687074829931972,Open Shrublands,181.57082,635.5266393442623,4.9918056
2011,Gueller,10,1566,10.653061224489797,Grasslands,181.57082,635.5266393442623,4.9918056
2011,Gueller,16,3563,24.23809523809524,Barren or Sparsely Vegetated,181.57082,635.5266393442623,4.9918056
2011,Gueller,255,9458,64.34013605442178,,181.57082,635.5266393442623,4.9918056
2011,El Melgue,7,91,0.5525197328476017,Open Shrublands,196.72589,554.9433010492332,4.6389422
